ageband,Sex,Density,Western Cape,Eastern Cape,Northern Cape,Free State,KwaZulu-Natal,North West,Gauteng,Mpumalanga,Limpopo,Grand Total
0-10,Female,High,393078,124710,32253,184623,370775,157904,951875,188771,89418,2493408
0-10,Female,Low,185990,601248,100205,110153,807750,261509,312500,314258,624955,3318567
0-10,Male,High,405032,129836,30169,184127,336380,149148,955016,177758,93576,2461043
0-10,Male,Low,185719,645915,89706,107683,855241,251689,306206,299635,652375,3394169
10-20,Female,High,325712,105595,27386,156286,337460,121740,754353,160664,69069,2058264
10-20,Female,Low,176360,516639,89889,91069,772884,214550,263742,268625,510348,2904105
10-20,Male,High,320810,96172,23975,164841,305918,121836,789929,151982,64956,2040418
10-20,Male,Low,187788,505471,80860,103583,781723,222350,273536,260574,492055,2907941
20-30,Female,High,400104,110358,23048,155608,370870,134055,1026397,170384,75928,2466752
20-30,Female,Low,188759,421358,80845,105923,660463,224253,372251,246898,468360,2769110
20-30,Male,High,399395,107834,23452,148603,426885,121145,1045760,173969,71349,2518393
20-30,Male,Low,188492,459185,81610,108518,603336,213479,381790,237088,407967,2681465
30-40,Female,High,409821,123370,21568,144933,357623,114348,1012545,143304,56609,2384122
30-40,Female,Low,193807,377799,71965,96917,588245,193449,408733,223093,373929,2527938
30-40,Male,High,405523,103727,18871,112677,422563,115465,1124722,162315,62986,2528847
30-40,Male,Low,187931,337618,67780,94076,516201,195361,447193,231911,355960,2434029
40-50,Female,High,258124,67818,17629,98853,235842,71039,614921,97050,41496,1502772
40-50,Female,Low,150598,222569,56349,77421,320164,130886,282918,155856,273939,1670700
40-50,Male,High,280102,73329,14588,79261,247211,77581,721007,84658,36558,1614296
40-50,Male,Low,153542,219236,54789,76385,272984,151581,302819,135300,214520,1581156
50-60,Female,High,207323,70551,10966,68102,189673,52133,412954,60748,25044,1097493
50-60,Female,Low,131853,230538,34599,52908,282260,111682,195724,103505,192750,1335818
50-60,Male,High,170879,46683,10254,51701,147294,54031,406596,58633,21088,967159
50-60,Male,Low,116488,142147,36852,50778,179252,120146,182097,98028,135239,1061025
60-70,Female,High,125784,44143,12075,51840,112846,31847,244019,34223,14388,671165
60-70,Female,Low,87074,194619,34524,41908,197796,84865,132080,65440,132777,971083
60-70,Male,High,100304,30115,7258,34327,78055,26600,193581,27121,10600,507960
60-70,Male,Low,76060,123276,25902,33726,128208,75563,117851,57638,91414,729638
70-80,Female,High,49067,20033,6974,27576,51930,14314,119598,18660,7707,315858
70-80,Female,Low,51191,105301,20033,21916,96516,43599,77343,41540,77045,534483
70-80,Male,High,37086,10123,2471,14695,28184,8870,75064,10258,3493,190244
70-80,Male,Low,38047,70948,9182,17624,58970,29298,56361,25484,32330,338243
80-90,Female,High,18486,3943,1791,6593,12305,4137,44207,6643,3268,101372
80-90,Female,Low,19834,38052,4889,6918,31901,12915,28108,17183,40584,200385
80-90,Male,High,8207,2406,521,2216,7007,1825,16633,2430,1393,42637
80-90,Male,Low,9531,18254,1845,2971,9757,6280,7858,6580,13248,76325
90-100,Female,High,1158,228,596,1571,1208,505,457,530,670,6922
90-100,Female,Low,1457,5555,1347,1558,7999,1705,346,1184,9457,30609
90-100,Male,High,1592,301,71,112,974,375,881,688,280,5276
90-100,Male,Low,1832,992,98,372,2181,1098,442,1809,3777,12601
100+,Female,High,87,28,61,0,0,109,128,122,46,580
100+,Female,Low,234,498,553,0,0,253,206,341,805,2890
100+,Male,High,0,0,0,0,0,0,0,225,0,225
100+,Male,Low,0,0,0,0,0,0,0,328,0,328
